Serial_ID,Brand_Info,Ingredients_List
030,FASHION thhergppy HERBS MANGO ে,"Key Ingredlents Mango Fruit Exl , Ammonia Bi Carbonato Hydrogen Poroxide Mangoos Bro un ldoul Summor Iruit as inoy are hign in many carotonolds ospecially Botu-carotono Bota Carotone has a protecuive allect againsi tno harmiul rays ol tne sun, Mangoes contain Vitamin Vitamin C 8 E and Solonium Mangoos also contain B-complex (antil stress) vitamins) magnesium potassium phospnorus Selenium Folic acid and zinc Due to all tnese properties this bleach has greai nourishing erects on tnne Skn"
031,GARNIeR,"প 00000 93618331- EREDIE SE ER GLCERIETVEIS ICID PILIITICICDS EIRICZLIU PUTISSIURTITOITII LAURIC ACIU GLYCERVI UISTEARAIE GLICERYLSTEIRIEE, KIULIN PEC-I4M, LIHALUUL, SILICIUCACIU PHERUKIETIIAIOL LIIURENE ASCURBYLGLUCOSIUE) TETRASUUIUIEUTA,LRU FRUITEXTRACT CITRUSJLAUS FRUITETTRACTIIIUuEXIEL"
032,MEr Extra Whitening 7 3,"40030 NEREDIENIS Aqua, Potassium Stearate Potassium Myristale Glycerin Potassium Laurate Cocamide DEA Trethanolamine Parium DMDM Hydantoin Menthol MorusAlba Root Extiad Butylene Glycol Niacinamide Methyichloroisothiazolinone Methylisothizollinone"
033,Clear,181 4 5993g 5 axiwalava kariglegnaiiuuauzil uurejisutkihvtrtiue werllnitrannuiaiiiriuuuuguruen O aumliMtwisllrierHealu liuialPalu
034,REVTVE,Kcilrrcknts vcao ViiEicoritrreuiaecu Alatoi Varanl
035,IIHITE RICE,"Ingredients water, glycerol, rice (ORYZA SATIVA) powder, propylene glycol, bis (hydroxymethyl) imidazolidinyl urea iodoproparin butyl carbamate EDTA disodium , flavor, sodium hyaluronate Trehalose, PEG-40 hydrogenated castor oil."
036,Lo NDN,"Putc pixluctoesui 4) nritmuccido coningcdicntet blingy calores shidvauiotra comna tbutini Pmiatsnuar la mielan n4 y numscui prorandar ntel piel, dandolerun aspey 19 Snllante Ilso Despues dr la hm ncza klla 24,aplique la ca aridad d 33083 3 83 ) 01454 6 SU3 hasra ta abiorcion atcaDifidac Todos Iers pos 9E ptex"
037,INFALLIBLE MATTIFYING,"Ingredient Paraffinum Liquiduml, Octyl Palmitate Aluminumn Starch Octenylsuccinate Talc, Copernicia Ceriiera, ceresin Wax Silica, Cera Ayba, Methylparabenl, Propylparaben"
038,,"FOUNDATION-FOND DE TEINT -BASE VLOEIBAHE স S8BEPECENENGEECERIN P E8- BITER ECOCEREENTASILRAA8E ISODODECANE HECTORITE DIMETHICONEIVINYL DIMETHICONE DISTEARDIMONIUI CROSSPOLYMER PROPYLENE CARBONATE TRIETHOXYCAPRYLYLSILANE ASCORBYL PALMITATE,TOCOPHERYL ACETATE DISODIUM EDTA NICINAMIDE ALUMINUM HYDROXIDE TAIC HYALURONATE PARAFFINUM LIQUIDUL LAER9E L,7U 9 27৬ 1 2 SODIUM TRIPEPTIDE-T MAY CONIAINFEUI CONTENIR( -) MINERALEDPALMECCI T89E RON XIDES CU77491 C1 77492,C1 77499) TITANIUMDIOXIDECCI N721 649"
039,0 MATTE IMASIC PROfessional cosuctics,"GRCUE augwoten Cycopentasiloxane PEGIO Dimethicone Neopenty Clyc Otnvihexonoate Talc Mica Phenyl inethicone Sodlum Choride bimethicone Crosspal ymer tauroyl Lysine GlyceryiCaprylate Methylpiopanediol Phenoxyethanol Sodium Myristoyl Glutamate Chlorphenesin Disteardimonium Hectorite l Fagus Sylvatica Bud Extract Soibitan Sesquioleate Hydrolyzed Yeast Piotein PiopyleneCarbonate Aluminum Hydroxide Biosaccharide Gum- Parfum(Fragrance) Butylene Gycol Benzyl Alcohol Pentlyene Glycol, Benzoic Acid"
